folder,psnr,ssim,lpips
04_18_2024_W3_F_Alfredo1_P_1,9.03394,0.09305,0.6633
03_04_2024_S_L_VeggiePackages_V_1,14.60881,0.37102,0.36793
04_19_2024_S2_F_Vinegar_P_3,9.38202,0.06512,0.62108
04_04_2024_W_C_TomatoCans_P_3,10.71023,0.10157,0.62304
03_21_2024_W_L_Candy1_P_1,13.15497,0.29071,0.55442
04_18_2024_W3_F_Cucumbers1_F_1,11.42906,0.1347,0.53138
04_18_2024_W3_F_Chips2_P_2,9.97146,0.13548,0.59259
03_13_2024_S_Co_Apples_F_2,13.39612,0.26847,0.4887
04_04_2024_W2_C_Juice_P_3,null,null,null
04_04_2024_W_C_CakeBatter_P_2,12.89404,0.25895,0.51881
04_19_2024_S2_F_Avacados1_F_1,null,null,null
03_21_2024_W_L_Syrup1_P_1,11.00142,0.16426,0.53861
04_18_2024_W_F_Spices_P_3,null,null,null
03_21_2024_W_L_Coffee1_P_1,13.50379,0.25495,0.53194
04_19_2024_W4_F_Avacados1_F_1,11.71238,0.18518,0.48107
03_21_2024_W_L_Cantaloupes_F_2,12.70944,0.2786,0.56908
04_18_2024_W2_F_Candy5_P_2,10.01502,0.10699,0.60663
04_04_2024_W2_C_Oil2_P_3,6.30041,0.00183,0.93932
04_04_2024_S_C_Chips3_P_1,6.0486,0.00311,0.96617
04_04_2024_W2_C_Mangoes1_F_1,12.42325,0.16194,0.52133
04_19_2024_S2_F_FruitCans1_P_1,9.5845,0.08136,0.67085
04_04_2024_NG_C_Fruits1_F_1,12.51628,0.20552,0.53974
04_18_2024_W2_F_OrangeJuice_P_3,null,null,null
04_18_2024_W_F_Corn1_F_1,12.57113,0.14323,0.50344
04_18_2024_W_F_Broccoli1_V_1,13.4597,0.25736,0.52164
04_18_2024_W_F_Chips2_P_3,9.27634,0.06253,0.65608
04_18_2024_W2_F_Salsa1_P_1,8.64083,0.09187,0.66152
04_18_2024_W3_F_Oils3_P_2,6.45941,0.00972,0.92856
04_04_2024_W2_C_Juice_P_2,13.75077,0.1867,0.31898
04_04_2024_S_C_Chips4_P_1,12.03664,0.15304,0.90529
04_04_2024_W2_C_Bread2_P_2,6.46521,0.00767,0.93714
03_21_2024_W_L_Peppers_F_2,12.61475,0.14609,0.46696
