folder,psnr,ssim,lpips
04_18_2024_W2_F_Spices_P_3,9.72692,0.17159,0.69184
04_18_2024_W_F_Melons1_F_1,6.04594,0.01062,0.94151
04_04_2024_S_C_Apples1_F_1,null,null,null
04_19_2024_W4_F_CanBeans_P_3,10.60062,0.23175,0.78363
04_04_2024_W_C_Oil_P_3,13.34152,0.27365,0.65131
04_18_2024_W2_F_HotSauce1_P_1,6.10035,0.01943,1.05347
04_04_2024_S_C_OrangesLong1_F_1,15.79033,0.67512,0.72067
04_18_2024_W3_F_Mangoes1_F_1,13.77618,0.5884,0.85537
03_07_2024_S_L_Potatoes1_V_1,6.2736,0.00796,1.07331
04_04_2024_NG_C_Fruits1_F_1,6.99151,0.06187,1.03855
04_18_2024_W2_F_GrapeFruit1_F_1,15.17895,0.55192,0.76429
04_18_2024_W3_F_Chips2_P_2,11.08484,0.28483,0.69068
04_18_2024_W_F_RedOnions1_V_1,15.70321,0.54169,0.56763
04_19_2024_W4_F_Onions1_V_1,10.91545,0.19478,0.66927
04_18_2024_W3_F_Apples4_F_1,null,null,null
04_18_2024_W3_F_Oils2_P_2,5.83227,0.011,1.04159
04_04_2024_W_C_Cucumbers1_V_1,null,null,null
04_04_2024_W2_C_ApplesLong2_F_1,null,null,null
04_18_2024_W3_F_HotSauce_P_3,10.3708,0.24278,0.71321
04_19_2024_W_F_Ranch_P_2,null,null,null
04_19_2024_S2_F_FruitCans1_P_1,10.88415,0.23625,0.68846
04_18_2024_W2_F_Greens1_V_1,5.32888,0.00917,1.04489
04_18_2024_W3_F_Tomatoes2_F_1,13.68265,0.45735,0.56794
03_21_2024_W_L_Apples2_F_2,null,null,null
04_04_2024_W2_C_Bread_P_2,12.6047,0.40656,0.64417
04_18_2024_W_F_Syrup1_P_1,5.75981,0.00733,1.04138
04_18_2024_W2_F_Ketchup_P_2,5.1105,0.03723,1.04702
04_04_2024_W2_C_Bread3_P_2,13.85406,0.36901,0.78168
03_21_2024_W_L_Drinks_P_2,5.56592,0.02367,1.06178
04_19_2024_W4_F_Chips_P_3,11.00683,0.47207,0.67256
04_18_2024_W2_F_OrangeJuice_P_3,null,null,null
03_21_2024_W_L_Honey1_P_1,14.39965,0.40618,0.57856
04_18_2024_W3_F_BBQSauce_P_3,10.66544,0.24469,0.70755
04_18_2024_W_F_Flour_P_2,14.58525,0.4981,0.66322
03_04_2024_S_L_Bananas_F_2,5.59369,0.01574,1.09209
04_04_2024_W2_C_PotatoesLong2_V_1,12.92801,0.45669,0.69743
04_19_2024_W4_F_Nectarines1_F_1,14.77535,0.55402,0.65591
04_19_2024_S2_F_Drinks_P_2,9.49119,0.18101,0.74294
04_19_2024_W4_F_Plums1_F_1,null,null,null
04_19_2024_W4_F_Soup_P_3,10.34753,0.20845,0.70919
04_19_2024_S2_F_Flour1_P_1,10.94689,0.20801,0.69588
03_21_2024_W_L_Pears1_F_1,6.67604,0.04792,1.06123
04_19_2024_S_F_Fruits1_F_1,15.16143,0.50769,0.63375
04_18_2024_W_F_Bread_P_3,9.59789,0.23094,0.72226
04_04_2024_W2_C_PastaSauce_P_2,6.31459,0.03034,1.02782
04_18_2024_W3_F_PeanutButter_P_2,6.19052,0.01663,1.03289
04_19_2024_S2_F_Apples2_F_1,12.35656,0.45878,0.70489
04_04_2024_W_C_PastaSauce4_P_2,14.6923,0.50234,0.71601
04_18_2024_W_F_Doritos_P_3,9.25538,0.14462,0.72654
03_04_2024_S_L_Greens2_V_1,null,null,null
03_21_2024_W_L_EnergyDrinks1_P_1,6.62858,0.01075,1.0168
04_18_2024_W2_F_Lemons1_F_1,null,null,null
